"Variable","Missing_Count","Missing_Percent"
"SELFCAREDF_C",1226,16.4807097728189
"HHRESPSC_FLG",940,12.6361070036295
"CURRESP_C",940,12.6361070036295
"FLUNCH12M1_C",765,10.2836402742304
"HINOTYR_C",357,4.79903212797419
"FWIC12M_C",278,3.7370614329883
"USPLKIND_C",227,3.05148541470628
"MAXPAREDUP_C",176,2.36590939642425
"PARWORK1_C",174,2.33902406237398
"LEGMSTAT1_C",166,2.23148272617287
"PARSEX1_C",164,2.2045973921226
"SCPARRAC_C",164,2.2045973921226
"SCPARHISP_C",164,2.2045973921226
"PARAGETC1_C",164,2.2045973921226
"MARSTAT1_C",164,2.2045973921226
"MARITAL1_C",164,2.2045973921226
"INCOTHR_C",107,1.43836537168974
"INCRETIRE_C",107,1.43836537168974
"INCWELF_C",107,1.43836537168974
"INCSSISSDI_C",107,1.43836537168974
"INCSSRR_C",107,1.43836537168974
"WELLNESS_C",62,0.833445355558543
"AFNOW",47,0.631805350181476
"MAXEDUCP_C",1,0.0134426670251378
"RATCAT_C",0,0
"INCTCFLG_C",0,0
"IMPINCFLG_C",0,0
"PPSU",0,0
"PSTRAT",0,0
"HISPALLP_C",0,0
"RACEALLP_C",0,0
"CITZNSTP_C",0,0
"PCNTADWFP1_C",0,0
"PCNTADWKP1_C",0,0
"FDSCAT4_C",0,0
"FDSCAT3_C",0,0
"RELTIVP_C",0,0
"RETAILHC12MTC_C",0,0
"URGCC12MTC_C",0,0
"EMERG12MTC_C",0,0
"PCNT18UPTC",0,0
"PCNTLT18TC",0,0
"SCFAMSTR_C",0,0
"PCNTPARNTS_C",0,0
"HIKIND01R_C",0,0
"HIKIND09R_C",0,0
"OTHGOVR_C",0,0
"COVER_C",0,0
"NOTCOV_C",0,0
"OTHPUB_C",0,0
"IHS_C",0,0
"MILITARY_C",0,0
"CHIP_C",0,0
"MEDICAID_C",0,0
"PRIVATE_C",0,0
"SCPARENTSC_C",0,0
"MLTFAMFLG_C",0,0
"OVER65FLG_C",0,0
"PCNTADLT_C",0,0
"PCNTKIDS_C",0,0
"HISDETP_C",0,0
"HISP_C",0,0
"URBRRL23",0,0
"REGION",0,0
"INTV_QRT",0,0
"SRVY_YR",0,0
"SEX_C",0,0
"AGEP_C",0,0
"CSTATNEW",0,0
"HOUTENURE_C",0,0
"HOUYRSLIV_C",0,0
"FDSBALANCE_C",0,0
"FDSLAST_C",0,0
"FDSRUNOUT_C",0,0
"FSNAP12M_C",0,0
"INCINTER_C",0,0
"INCWRKO_C",0,0
"NATUSBORN_C",0,0
"SCREENTIME_C",0,0
"WAKETIME_C",0,0
"BEDTIME_C",0,0
"NAPS_C",0,0
"TIRED_C",0,0
"OUTOFBED_C",0,0
"RESTED_C",0,0
"TBIHLSBMC_C",0,0
"TBILCDCMG_C",0,0
"ANYINJURY_C",0,0
"MHTHND_C",0,0
"MHTHDLY_C",0,0
"MHTHRPY_C",0,0
"MHRX_C",0,0
"SHTCVD191_C",0,0
"SHTFLU12M_C",0,0
"RXDG12M_C",0,0
"RX12M_C",0,0
"VIRAPP12M_C",0,0
"MEDNG12M_C",0,0
"MEDDL12M_C",0,0
"HOSPONGT_C",0,0
"USUALPL_C",0,0
"LASTDR_C",0,0
"EVERCOVD_C",0,0
"PAYWORRY_C",0,0
"PAYBLL12M_C",0,0
"SINCOVRX_C",0,0
"SINCOVVS_C",0,0
"SINCOVDE_C",0,0
"HIKIND10_C",0,0
"HIKIND08_C",0,0
"HIKIND07_C",0,0
"HIKIND06_C",0,0
"HIKIND05_C",0,0
"HIKIND04_C",0,0
"HICOV_C",0,0
"EQUIP_C",0,0
"HEARINGDF_C",0,0
"HEARAID_C",0,0
"VISIONDF_C",0,0
"WEARGLSS_C",0,0
"CURSKIN_C",0,0
"CURFOOD_C",0,0
"ASDEV_C",0,0
"IDEV1_C",0,0
"DIBEV_C",0,0
"PREDIB_C",0,0
"ASEV_C",0,0
"PHSTAT_C",0,0
"HHSTAT_C",0,0
"INTV_MON",0,0
"RECTYPE",0,0
"IMPNUM_C",0,0
"RELCHPARENTP1_C",0,0
"RELCHPARENTP2_C",0,0
"WTFA_C",0,0
"HHX",0,0
"POVRATTC_C",0,0
"Class",0,0
